bearing,top,time,spinner
m,1,151,r
m,1,140,r
m,1,134,r
m,0,136,r
m,0,125,r
m,0,131,r
c,1,47,r
c,1,69,r
c,1,69,r
c,0,86,r
c,0,94,r
c,0,90,r
h,1,79,r
h,1,85,r
h,1,94,r
h,0,63,r
h,0,66,r
h,0,74,r
r,1,65,r
r,1,63,r
r,1,61,r
r,0,71,r
r,0,73,r
r,0,72,r
b,1,66,r
b,1,67,r
b,1,72,r
b,0,56,r
b,0,50,r
b,0,58,r
m2,1,18,r
m2,1,29,r
m2,1,33,r
m2,0,22,r
m2,0,33,r
m2,0,29,r
g,1,5,r
g,1,5,r
g,1,4,r
g,0,7,r
g,0,7,r
g,0,6,r
m,1,158,b
m,1,164,b
m,1,161,b
m,0,156,b
m,0,159,b
m,0,156,b
c,1,52,b
c,1,62,b
c,1,65,b
c,0,37,b
c,0,56,b
c,0,63,b
h,1,92,b
h,1,101,b
h,1,106,b
h,0,90,b
h,0,94,b
h,0,95,b
r,1,76,b
r,1,82,b
r,1,85,b
r,0,69,b
r,0,75,b
r,0,71,b
b,1,68,b
b,1,70,b
b,1,75,b
b,0,79,b
b,0,85,b
b,0,88,b
m2,1,24,b
m2,1,32,b
m2,1,48,b
m2,0,35,b
m2,0,50,b
m2,0,36,b
g,1,26,b
g,1,27,b
g,1,27,b
g,0,27,b
g,0,30,b
g,0,27,b
